id,label,type,description,lens,examples,terminology,notes
impact of COVID shutdown ,impact of COVID shutdown ,,,,,,
capability to implement the restaurant experiment project,capability to implement the restaurant experiment project,,,,,,
uncertainty in weather,uncertainty in weather,,,,,,
uncertainty in daily catch,uncertainty in daily catch,,,,,,
 of flexibility in recipe for seafood ingredient ⎻ subject: chef, of flexibility in recipe for seafood ingredient,, ⎻ subject: chef,,,,
use of daily catch,use of daily catch,,,,,,
  flaky white fish ⎻ subject: restaurant consumer,  flaky white fish,, ⎻ subject: restaurant consumer,,,,
difficulty of selling new fish species dish to consumer ⎻ subject: chef,difficulty of selling new fish species dish to consumer,, ⎻ subject: chef,,,,
time spent  experimanting with new seafood species ⎻ subject: chef,time spent  experimanting with new seafood species,, ⎻ subject: chef,,,,
comfort with creating recipes for the species ⎻ subject: chef,comfort with creating recipes for the species,, ⎻ subject: chef,,,,
difficulty of customer surveying,difficulty of customer surveying,,,,,,
ability to collect project feedback data,ability to collect project feedback data,,,,,,
knowledge of gastronomy ⎻ subject: chef,knowledge of gastronomy,, ⎻ subject: chef,,,,
capacity to sort and compare variable seafood species by characteristics,capacity to sort and compare variable seafood species by characteristics,,,,,,
necessity for cross-sector communication,necessity for cross-sector communication,,,,,,
number of customers served ⎻ subject: business (restaurant),number of customers served,, ⎻ subject: business (restaurant),,,,
preference for eating seafood at restaurants,preference for eating seafood at restaurants,,,,,,
access to tax incentives,access to tax incentives,,,,,,
 of competitiveness, of competitiveness,,,,,,
 of competitiveness ⎻ subject: local producer, of competitiveness,, ⎻ subject: local producer,,,,
difficulty of serving seafood customers,difficulty of serving seafood customers,,,,,,
concern for selling non-flaky-white fish,concern for selling non-flaky-white fish,,,,,,
 with flaky white fish, with flaky white fish,,,,,,
demand for non-flaky-white fish,demand for non-flaky-white fish,,,,,,
concern for selling non-flaky-white fish,concern for selling non-flaky-white fish,,,,,,
 with a species, with a species,,,,,,
confidence in introducing locally underutilized species to customers,confidence in introducing locally underutilized species to customers,,,,,,
ability to analyze project results,ability to analyze project results,,,,,,
knowledge of place-based information,knowledge of place-based information,,,,,,
 of exposure to locally underutilized seafood ⎻ subject: consumer, of exposure to locally underutilized seafood,, ⎻ subject: consumer,,,,
comfort with underutilized species,comfort with underutilized species,,,,,,
demand for locally underutilized species,demand for locally underutilized species,,,,,,
 of financial security, of financial security,,,,,,
ability to adapt to more sustainable practice,ability to adapt to more sustainable practice,,,,,,
size of business,size of business,,,,,,
confidence in creating systemic impact,confidence in creating systemic impact,,,,,,
amount of fillet it produces,amount of fillet it produces,,,,,,
willingness to introduce the seafood to customers ⎻ subject: chef,willingness to introduce the seafood to customers,, ⎻ subject: chef,,,,
 of versatility, of versatility,,,,,,
knowledge of the seafood's taste,knowledge of the seafood's taste,,,,,,
acceptance of unfamiliar seafood species,acceptance of unfamiliar seafood species,,,,,,
amount of education through direct interaction,amount of education through direct interaction,,,,,,
,,,,,,,
knowledge of taste similarity with familiar species ,knowledge of taste similarity with familiar species ,,,,,,
trust in colleagues ⎻ subject: chef,trust in colleagues,, ⎻ subject: chef,,,,
trust in seafood information shared by colleagues ⎻ subject: chef,trust in seafood information shared by colleagues,, ⎻ subject: chef,,,,
access to free samples,access to free samples,,,,,,
risk of trying unfamiliar seafood species,risk of trying unfamiliar seafood species,,,,,,
willingness to try locally underutilized species,willingness to try locally underutilized species,,,,,,
participation in follow-along cooking demos,participation in follow-along cooking demos,,,,,,
access to approachable cooking instructions,access to approachable cooking instructions,,,,,,
confidence in cooking unfamiliar seafood,confidence in cooking unfamiliar seafood,,,,,,
access to accurate information about seafood,access to accurate information about seafood,,,,,,
fear of unfamiliar seafood,fear of unfamiliar seafood,,,,,,
 of knowledge about seafood ⎻ subject: local vendor, of knowledge about seafood,, ⎻ subject: local vendor,,,,
demand for consistent seafood supply,demand for consistent seafood supply,,,,,,
 of seafood variability at store, of seafood variability at store,,,,,,
variety in seafood supply chain,variety in seafood supply chain,,,,,,
ability to have fixed operation standards,ability to have fixed operation standards,,,,,,
effectiveness of data collecting technology,effectiveness of data collecting technology,,,,,,
ability to aggregate seafood,ability to aggregate seafood,,,,,,
access to technology,access to technology,,,,,,
ability to build supply infrastructure,ability to build supply infrastructure,,,,,,
 of impact in supply chain, of impact in supply chain,,,,,,
 of visibility to labor ⎻ subject: fishermen, of visibility to labor,, ⎻ subject: fishermen,,,,
 of rewarding feeling ⎻ subject: fishermen, of rewarding feeling,, ⎻ subject: fishermen,,,,
trust in supplier ⎻ subject: fishermen,trust in supplier,, ⎻ subject: fishermen,,,,
pride in fishing ⎻ subject: fishermen,pride in fishing,, ⎻ subject: fishermen,,,,
wish to learn the next steps of their catch in the supply,wish to learn the next steps of their catch in the supply,,,,,,
access to a certain species,access to a certain species,,,,,,
variety in customer groups for different species,variety in customer groups for different species,,,,,,
variety in seafood sales staff,variety in seafood sales staff,,,,,,
dependence on customer demand,dependence on customer demand,,,,,,
 of agency in demand curation ⎻ subject: supplier, of agency in demand curation,, ⎻ subject: supplier,,,,
dependence on customer demand ⎻ subject: chef,dependence on customer demand,, ⎻ subject: chef,,,,
 of agency in demand curation ⎻ subject: chef, of agency in demand curation,, ⎻ subject: chef,,,,
flexibility in seafood demand ⎻ subject: chef,flexibility in seafood demand,, ⎻ subject: chef,,,,
,,,,,,,
appreciation of flexibility ⎻ subject: supplier,appreciation of flexibility,, ⎻ subject: supplier,,,,
 of fishing regulation, of fishing regulation,,,,,,
variety in daily catch ⎻ subject: fishermen,variety in daily catch,, ⎻ subject: fishermen,,,,
variety in seafood supply,variety in seafood supply,,,,,,
ability to accommodate seafood supply variety,ability to accommodate seafood supply variety,,,,,,
practice of writing species name on menu,practice of writing species name on menu,,,,,,
 of misalignment in seafood supply and demand, of misalignment in seafood supply and demand,,,,,,
amount of seafood demand ⎻ subject: institution food service,amount of seafood demand,, ⎻ subject: institution food service,,,,
impact of institution in seafood pricing,impact of institution in seafood pricing,,,,,,
,,,,,,,
difficulty of finding demand for the high supply,difficulty of finding demand for the high supply,,,,,,
stability of business ⎻ subject: fishermen,stability of business,, ⎻ subject: fishermen,,,,
 of demand predictability ⎻ subject: institution food service, of demand predictability,, ⎻ subject: institution food service,,,,
number of sales channels,number of sales channels,,,,,,
access to various seafood,access to various seafood,,,,,,
,,,,,,,
flexibility in seafood demand,flexibility in seafood demand,,,,,,
satisfaction with seafood ⎻ subject: consumer,satisfaction with seafood,, ⎻ subject: consumer,,,,
,,,,,,,
 of resilience of seafood supply chain, of resilience of seafood supply chain,,,,,,
 of traceability , of traceability ,,,,,,
confidence in introducing locally underutilized species to local market ⎻ subject: fishermen,confidence in introducing locally underutilized species to local market,, ⎻ subject: fishermen,,,,
ability to scale storytelling,ability to scale storytelling,,,,,,
ability to freeze seafood,ability to freeze seafood,,,,,,
,,,,,,,
 of supply flexibility , of supply flexibility ,,,,,,
ability to maximize profit ⎻ subject: supplier,ability to maximize profit,, ⎻ subject: supplier,,,,
desire for seafood education,desire for seafood education,,,,,,
desire for direct connection to consumers,desire for direct connection to consumers,,,,,,
willingness to work with suppliers,willingness to work with suppliers,,,,,,
profit on fishing wild seafood,profit on fishing wild seafood,,,,,,
number of fishermen,number of fishermen,,,,,,
amount of seafood in the ocean,amount of seafood in the ocean,,,,,,
 of consistency in seafood supply, of consistency in seafood supply,,,,,,
 of competitiveness in traditional seafood supply chain ⎻ subject: local seafood, of competitiveness in traditional seafood supply chain,, ⎻ subject: local seafood,,,,
,,,,,,,
 of competitiveness in traditional seafood supply chain ⎻ subject: imported seafood, of competitiveness in traditional seafood supply chain,, ⎻ subject: imported seafood,,,,
amount of seafood in the market ⎻ subject: imported seafood,amount of seafood in the market,, ⎻ subject: imported seafood,,,,
motivation to catch domestic counterpart,motivation to catch domestic counterpart,,,,,,
ability to differentiate from imported seafood,ability to differentiate from imported seafood,,,,,,
,,,,,,,
,,,,,,,
 of utilization, of utilization,,,,,,
perception of a seafood being cheap,perception of a seafood being cheap,,,,,,
desire for purchase ⎻ subject: chef,desire for purchase,, ⎻ subject: chef,,,,
,,,,,,,
 of trust, of trust,,,,,,
ability to introduce underutilized species,ability to introduce underutilized species,,,,,,
,,,,,,,
  ingredients,  ingredients,,,,,,
access to seafood ⎻ subject: ethinic minorities,access to seafood,, ⎻ subject: ethinic minorities,,,,
consumption of underutilized species,consumption of underutilized species,,,,,,
ability to reach ethnic minority communities ⎻ subject: supplier,ability to reach ethnic minority communities,, ⎻ subject: supplier,,,,
,,,,,,,
ability to learn seafood practices from other cultures,ability to learn seafood practices from other cultures,,,,,,
ability to improve seafood taste,ability to improve seafood taste,,,,,,
demand for for seafood ⎻ subject: consumer,demand for for seafood,, ⎻ subject: consumer,,,,
difficulty of selling underutilized species through traditional markets,difficulty of selling underutilized species through traditional markets,,,,,,
desire for alternative retail channels,desire for alternative retail channels,,,,,,
frequency of menu change,frequency of menu change,,,,,,
concern for unfamiliarity,concern for unfamiliarity,,,,,,
number of traditional supply chain partners,number of traditional supply chain partners,,,,,,
number of alternative supply channels,number of alternative supply channels,,,,,,
access to seafood ,access to seafood ,,,,,,
ability to execute seafood marketing project,ability to execute seafood marketing project,,,,,,
 of market saturation ⎻ subject: seafood, of market saturation,, ⎻ subject: seafood,,,,
curiosity about a seafood ⎻ subject: consumer,curiosity about a seafood,, ⎻ subject: consumer,,,,
desire for learn more about the species,desire for learn more about the species,,,,,,
difficulty of promoting locally sourced seafood,difficulty of promoting locally sourced seafood,,,,,,
prioritization of seafood marketing,prioritization of seafood marketing,,,,,,
amount of work in seafood marketing,amount of work in seafood marketing,,,,,,
comfort with familiar seafood,comfort with familiar seafood,,,,,,
concern for spending,concern for spending,,,,,,
cost of locally underutilized species,cost of locally underutilized species,,,,,,
access to easy recipes,access to easy recipes,,,,,,
willingness to carry familiar species  ⎻ subject: retailer,willingness to carry familiar species ,, ⎻ subject: retailer,,,,
amount of underutilized seafood at market,amount of underutilized seafood at market,,,,,,
number of local seafood exported overseas,number of local seafood exported overseas,,,,,,
,,,,,,,
,,,,,,,
perception of seafood being unsustainable,perception of seafood being unsustainable,,,,,,
opportunity to discovering alternative seafood markets,opportunity to discovering alternative seafood markets,,,,,,
desire for engage in local seafood culture,desire for engage in local seafood culture,,,,,,
willingness to ask questions about seafood ,willingness to ask questions about seafood ,,,,,,
,,,,,,,
time spent  eating locally underutilized species ⎻ subject: ethinic minorities,time spent  eating locally underutilized species,, ⎻ subject: ethinic minorities,,,,
willingness to pick up seafood ⎻ subject: consumer,willingness to pick up seafood,, ⎻ subject: consumer,,,,
willingness to offer pick-up services ⎻ subject: local vendor,willingness to offer pick-up services,, ⎻ subject: local vendor,,,,
willingness to offer flash frozen seafood,willingness to offer flash frozen seafood,,,,,,
 of community connectivity, of community connectivity,,,,,,
effectiveness of promotion through positive word of mouth,effectiveness of promotion through positive word of mouth,,,,,,
flexibility in choosing seafood ⎻ subject: consumer,flexibility in choosing seafood,, ⎻ subject: consumer,,,,
practice of selecting marketable seafood,practice of selecting marketable seafood,,,,,,
ability to find outlets for the whole catch ⎻ subject: fishermen,ability to find outlets for the whole catch,, ⎻ subject: fishermen,,,,
willingness to learn about unfamiliar species,willingness to learn about unfamiliar species,,,,,,
variety in interpretations of sustainability,variety in interpretations of sustainability,,,,,,
difficulty of establishing shared sustainability goals,difficulty of establishing shared sustainability goals,,,,,,
fatigue from survey,fatigue from survey,,,,,,
difficulty of collecting feedback on initiative effectiveness,difficulty of collecting feedback on initiative effectiveness,,,,,,
time spent,time spent,,,,,,
temperature  sea water,temperature  sea water,,,,,,
access to seaweed seeds,access to seaweed seeds,,,,,,
duration of shelf life ⎻ subject: seafood,duration of shelf life,, ⎻ subject: seafood,,,,
ability to collect customer preference data,ability to collect customer preference data,,,,,,
duration of available season ⎻ subject: seafood,duration of available season,, ⎻ subject: seafood,,,,
capacity to create an established fishery,capacity to create an established fishery,,,,,,
dependence on the ocean ⎻ subject: fishermen,dependence on the ocean,, ⎻ subject: fishermen,,,,
 of care during fishing, of care during fishing,,,,,,
preference for certain names,preference for certain names,,,,,,
awareness of species existence ,awareness of species existence ,,,,,,
access to in-person sights of aquaculture practice,access to in-person sights of aquaculture practice,,,,,,
trust in aquaculture ⎻ subject: policymaker,trust in aquaculture,, ⎻ subject: policymaker,,,,
trust in aquaculture,trust in aquaculture,,,,,,
impact of COVID disruption of global food supply chain,impact of COVID disruption of global food supply chain,,,,,,
number of people relocated to costal areas,number of people relocated to costal areas,,,,,,
number of fishermen living in coastal area,number of fishermen living in coastal area,,,,,,
difficulty of permitting for coastal aquaculture farms,difficulty of permitting for coastal aquaculture farms,,,,,,
understanding of fishing practice ⎻ subject: others (community),understanding of fishing practice,, ⎻ subject: others (community),,,,
appreciation of fishermen ⎻ subject: others (community),appreciation of fishermen,, ⎻ subject: others (community),,,,
 of ocean temperature increase, of ocean temperature increase,,,,,,
 of food safety, of food safety,,,,,,
,,,,,,,
access to shellfish seeds,access to shellfish seeds,,,,,,
knowledge of health concerns related to certain species,knowledge of health concerns related to certain species,,,,,,
access to funding,access to funding,,,,,,
ability to purchase sustainable certificates,ability to purchase sustainable certificates,,,,,,
perception of corporations as evil,perception of corporations as evil,,,,,,
frustration at offshore aquaculture,frustration at offshore aquaculture,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
use of outdated information,use of outdated information,,,,,,
 of misunderstanding of aquaculture, of misunderstanding of aquaculture,,,,,,
 of opposition of commercial seafood production, of opposition of commercial seafood production,,,,,,
practice of seafood production ⎻ subject: domestic,practice of seafood production,, ⎻ subject: domestic,,,,
practice of seafood production ⎻ subject: overseas,practice of seafood production,, ⎻ subject: overseas,,,,
demand for familiar species  ⎻ subject: overseas,demand for familiar species ,, ⎻ subject: overseas,,,,
indifference to manual labor ⎻ subject: young people,indifference to manual labor,, ⎻ subject: young people,,,,
frustration ⎻ subject: fishermen,frustration,, ⎻ subject: fishermen,,,,
 of negative word of mouth about entering commercial fishing ⎻ subject: fishermen, of negative word of mouth about entering commercial fishing,, ⎻ subject: fishermen,,,,
implementation of catch-share-system,implementation of catch-share-system,,,,,,
cost of commercial fishing permits,cost of commercial fishing permits,,,,,,
 of distrust between fishermen and regulators, of distrust between fishermen and regulators,,,,,,
appreciation of imported goods in the 80s,appreciation of imported goods in the 80s,,,,,,
number of suppliers importing seafood,number of suppliers importing seafood,,,,,,
 of marketing effort ⎻ subject: local seafood, of marketing effort,, ⎻ subject: local seafood,,,,
amount of seafood at market ⎻ subject: local seafood,amount of seafood at market,, ⎻ subject: local seafood,,,,
convenience of accessing imported seafood,convenience of accessing imported seafood,,,,,,
,,,,,,,
difficulty of local seafood marketing,difficulty of local seafood marketing,,,,,,
number of CSF,number of CSF,,,,,,
concern for food origin ⎻ subject: consumer,concern for food origin,, ⎻ subject: consumer,,,,
convenience of accessing fishermen,convenience of accessing fishermen,,,,,,
willingness to purchase local seafood,willingness to purchase local seafood,,,,,,
amount of labor needed to process whole fish ⎻ subject: local seafood,amount of labor needed to process whole fish,, ⎻ subject: local seafood,,,,
impact of climate change,impact of climate change,,,,,,
capability,capability,,,,,,
uncertainty in the status of a certain fishery,uncertainty in the status of a certain fishery,,,,,,
necessity for diversifying fisheries,necessity for diversifying fisheries,,,,,,
,,,,,,,
practice of promoting a single species,practice of promoting a single species,,,,,,
 of commercial interest in a species, of commercial interest in a species,,,,,,
 of natural abundance of a species, of natural abundance of a species,,,,,,
size of a fishery,size of a fishery,,,,,,
profit on fishery ⎻ subject: fishermen,profit on fishery,, ⎻ subject: fishermen,,,,
willingness to use ice for refridgeration,willingness to use ice for refridgeration,,,,,,
quality of seafood,quality of seafood,,,,,,
,,,,,,,
number of fish to catch everyday ⎻ subject: fishermen,number of fish to catch everyday,, ⎻ subject: fishermen,,,,
willingness to accept frozen seafood,willingness to accept frozen seafood,,,,,,
price of seafood,price of seafood,,,,,,
 of interactions between whales and commercial fishing grounds, of interactions between whales and commercial fishing grounds,,,,,,
quality of food source for whales,quality of food source for whales,,,,,,
,,,,,,,
delay in fishing regulation update,delay in fishing regulation update,,,,,,
,,,,,,,
access to seafood ecological data,access to seafood ecological data,,,,,,
ability to attribute an observation to a climate change phenomenon ,ability to attribute an observation to a climate change phenomenon ,,,,,,
awareness of climate change,awareness of climate change,,,,,,
access to climate communication,access to climate communication,,,,,,
awareness of what is local ⎻ subject: seafood,awareness of what is local,, ⎻ subject: seafood,,,,
ability to attribute unfamiliar seafood to local seafood,ability to attribute unfamiliar seafood to local seafood,,,,,,
,,,,,,,
desire for fish fillet,desire for fish fillet,,,,,,
acceptance of whole fish ⎻ subject: consumer,acceptance of whole fish,, ⎻ subject: consumer,,,,
access to diverse range of seafood,access to diverse range of seafood,,,,,,
capacity to attract different stakeholders,capacity to attract different stakeholders,,,,,,
 of cross-sector collaboration, of cross-sector collaboration,,,,,,
complexity of language used in sustainability communication,complexity of language used in sustainability communication,,,,,,
,,,,,,,
ability to see tangible impact,ability to see tangible impact,,,,,,
ability to quantify carbon footprint,ability to quantify carbon footprint,,,,,,
ability to justify the cost for domestic seafood processing,ability to justify the cost for domestic seafood processing,,,,,,
cost of processing seafood domestically,cost of processing seafood domestically,,,,,,
amount of wastewater treatment facilities,amount of wastewater treatment facilities,,,,,,
ability,ability,,,,,,
ability to accomodate processing infrastructure,ability to accomodate processing infrastructure,,,,,,
comfort with a few species available year around,comfort with a few species available year around,,,,,,
knowledge of seafood's local context,knowledge of seafood's local context,,,,,,
practice of associating wealth with imported goods,practice of associating wealth with imported goods,,,,,,
practice of profit-maximizing business strategy,practice of profit-maximizing business strategy,,,,,,
 of adaptiveness in seafood consumption, of adaptiveness in seafood consumption,,,,,,
necessity for climate adaptive seafood consumption,necessity for climate adaptive seafood consumption,,,,,,
ability to process whole fish,ability to process whole fish,,,,,,
time spent  fishing local fish ⎻ subject: ethinic minorities,time spent  fishing local fish,, ⎻ subject: ethinic minorities,,,,
acceptance of all parts of fish being edible ⎻ subject: ethinic minorities,acceptance of all parts of fish being edible,, ⎻ subject: ethinic minorities,,,,
comfort with locally underutilized species ⎻ subject: ethinic minorities,comfort with locally underutilized species,, ⎻ subject: ethinic minorities,,,,
ability to process whole fish ⎻ subject: ethinic minorities,ability to process whole fish,, ⎻ subject: ethinic minorities,,,,
acceptance of whole fish  ⎻ subject: ethinic minorities,acceptance of whole fish ,, ⎻ subject: ethinic minorities,,,,
demand for locally underutilized species ⎻ subject: ethinic minorities,demand for locally underutilized species,, ⎻ subject: ethinic minorities,,,,
necessity for processing service,necessity for processing service,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
risk of selling underutilized species,risk of selling underutilized species,,,,,,
amount of domestic processing services,amount of domestic processing services,,,,,,
opportunity to share CSF stories ⎻ subject: ethinic minorities,opportunity to share CSF stories,, ⎻ subject: ethinic minorities,,,,
 of association with CSF and white consumers, of association with CSF and white consumers,,,,,,
prevalence of off-shore wind farms,prevalence of off-shore wind farms,,,,,,
concern for fishing practice ⎻ subject: fishermen,concern for fishing practice,, ⎻ subject: fishermen,,,,
value of coastal land,value of coastal land,,,,,,
desire for coastal real estate development,desire for coastal real estate development,,,,,,
ability to justify the strict seafood regulations,ability to justify the strict seafood regulations,,,,,,
practice of seafood mislabeling,practice of seafood mislabeling,,,,,,
ability to reflect seafood value through pricing,ability to reflect seafood value through pricing,,,,,,
knowledge of funding sources,knowledge of funding sources,,,,,,
 of closeness to fishermen ⎻ subject: retailer, of closeness to fishermen,, ⎻ subject: retailer,,,,
access to high quality seafood,access to high quality seafood,,,,,,
necessity for processing large quantity of fish ⎻ subject: wholesaler,necessity for processing large quantity of fish,, ⎻ subject: wholesaler,,,,
practice of buying with eye,practice of buying with eye,,,,,,
necessity for careful processing,necessity for careful processing,,,,,,
cost of retaining qualified seafood processors on site,cost of retaining qualified seafood processors on site,,,,,,
access to on-site whole fish processing service,access to on-site whole fish processing service,,,,,,
 of attractiveness for in-person seafood shopping, of attractiveness for in-person seafood shopping,,,,,,
number of customers,number of customers,,,,,,
ability to engage in conversations with seller ⎻ subject: consumer,ability to engage in conversations with seller,, ⎻ subject: consumer,,,,
 of payment for employees ⎻ subject: retailer, of payment for employees,, ⎻ subject: retailer,,,,
willingness to engage in local seafood education ⎻ subject: retail staff,willingness to engage in local seafood education,, ⎻ subject: retail staff,,,,
knowledge of seafood's local context ⎻ subject: retail staff,knowledge of seafood's local context,, ⎻ subject: retail staff,,,,
necessity for home cooking,necessity for home cooking,,,,,,
number of customers ⎻ subject: retailer,number of customers,, ⎻ subject: retailer,,,,
difficulty of determining what seafood is sustainable ⎻ subject: retailer,difficulty of determining what seafood is sustainable,, ⎻ subject: retailer,,,,
desire for government seafood regulations,desire for government seafood regulations,,,,,,
knowledge of cultural cusines,knowledge of cultural cusines,,,,,,
knowledge of utilization of locally underutilized species,knowledge of utilization of locally underutilized species,,,,,,
awareness of locally underutilized species,awareness of locally underutilized species,,,,,,
knowledge of where to find locally underutilized species ⎻ subject: consumer,knowledge of where to find locally underutilized species,, ⎻ subject: consumer,,,,
access to locally underutilized species,access to locally underutilized species,,,,,,
willingness to carry whole fish ⎻ subject: retailer,willingness to carry whole fish,, ⎻ subject: retailer,,,,
difficulty of covering rent ⎻ subject: retailer,difficulty of covering rent,, ⎻ subject: retailer,,,,
ability to operate physical fish markets ⎻ subject: retailer,ability to operate physical fish markets,, ⎻ subject: retailer,,,,
access to seafood ⎻ subject: others (community),access to seafood,, ⎻ subject: others (community),,,,
,,,,,,,
access to parking spots,access to parking spots,,,,,,
desire for delivery services,desire for delivery services,,,,,,
desire for curbside pickup,desire for curbside pickup,,,,,,
distance from the shore ⎻ subject: seafood species,distance from the shore,, ⎻ subject: seafood species,,,,
convenience of catching the species ⎻ subject: fishermen,convenience of catching the species,, ⎻ subject: fishermen,,,,
preference for a species ⎻ subject: fishermen,preference for a species,, ⎻ subject: fishermen,,,,
cost of violating the regulations ⎻ subject: fishermen,cost of violating the regulations,, ⎻ subject: fishermen,,,,
adherence to fishing regulations ⎻ subject: fishermen,adherence to fishing regulations,, ⎻ subject: fishermen,,,,
concern for future generation's access to fishing resources ⎻ subject: fishermen,concern for future generation's access to fishing resources,, ⎻ subject: fishermen,,,,
difficulty of attaining fishing practice ⎻ subject: fishermen,difficulty of attaining fishing practice,, ⎻ subject: fishermen,,,,
,,,,,,,
 of accountability of seafood sustainability, of accountability of seafood sustainability,,,,,,
 of fishery data accuracy, of fishery data accuracy,,,,,,
desire for direct interaction with consumers ⎻ subject: fishermen,desire for direct interaction with consumers,, ⎻ subject: fishermen,,,,
concern for profit ⎻ subject: fishermen,concern for profit,, ⎻ subject: fishermen,,,,
willingness to try more diverse seafood ⎻ subject: consumer,willingness to try more diverse seafood,, ⎻ subject: consumer,,,,
 of exposure to whole fish ⎻ subject: consumer, of exposure to whole fish,, ⎻ subject: consumer,,,,
 of pollution from land farming, of pollution from land farming,,,,,,
 of population health of certain seafood species, of population health of certain seafood species,,,,,,
